target_id	[G9.1]	[G9.2]	[G9.3]	[G9.4]	[G9.5]	[G9.6]	[G9.7]	[G9.8]	[G9.9]	[G9.10]
P18031	165.027119	258.570281	172.03423	166.924895	151.01265800000004	211.346115	278.421569	219.87931	243.578125	204.861168
P28827	565.325424	865.7630519999999	554.528117	557.461818	474.886076	682.7648839999998	912.77451	748.715517	762.359375	665.717526
P25025	174.816949	187.771084	144.42298300000004	143.79706299999995	94.9746835	181.387487	246.490196	169.43965500000004	165.3125	177.945704
P19801	303.257627	429.297189	296.386308	277.603357	237.0	358.767911	462.186275	360.405172	380.546875	348.882474
P10275	323.20339	564.7309240000002	319.689487	339.04951	293.0	394.518668	538.127451	453.206897	490.3125	384.106529
Q16236	205.823729	372.461847	222.217604	227.065315	209.316456	279.933401	393.852941	333.267241	345.78125	270.76151200000004
Q9QYJ6	324.298305	453.052209	308.828851	316.759021	251.83544300000003	383.106963	519.4803919999998	404.327586	418.109375	374.077663
P05979	252.67796600000003	345.514056	242.452323	230.742517	189.835443	296.374369	380.294118	279.405172	303.609375	287.931271
O00519	230.772881	330.931727	209.938875	215.018042	170.139241	261.348133	355.460784	274.767241	296.53125	254.986254
P37840	45.0101695	85.0040161	43.1149144	51.79482520000001	43.5696203	56.0181635	79.0	75.08620690000002	81.765625	54.6639175
Q9UNH5	219.905085	359.373494	223.9022	222.500839	206.392405	274.71846600000003	371.794118	311.431034	321.203125	268.894158
Q02643	193.80339	221.68674700000003	165.364303	162.792448	108.835443	203.039354	271.078431	196.724138	197.015625	198.263918
P43166	101.210169	155.23694799999996	100.743276	96.666993	84.96202530000002	122.085772	161.196078	130.844828	138.15625	118.897595
Q9Y3R4	143.71864399999995	220.37751	142.264059	139.381678	120.481013	173.62361299999995	232.95098	186.491379	195.640625	169.274227
O70528	184.532203	204.871486	153.427873	156.13021	105.253165	190.346115	256.980392	186.12069	180.15625	186.908591
O95271	488.220339	767.425703	455.007335	480.0601400000001	407.367089	567.871847	811.892157	683.310345	712.75	553.043299
O15294	425.572881	585.73494	395.07824	405.271608	329.873418	491.269425	680.833333	543.258621	544.96875	480.239175
Q99572	247.342373	347.634538	240.224939	243.154965	198.126582	293.257316	382.519608	282.887931	311.296875	285.687973
Q15149	1593.01017	2859.04016	1788.5427899999993	1767.79175	1688.0	2234.65489	3028.30392	2453.15517	2780.26562	2177.19725
P41245	276.291525	434.811245	268.848411	273.42181800000003	228.670886	326.2320890000001	426.901961	343.922414	377.640625	316.730584
Q8WN95	1068.67119	1524.21285	1038.9022	1046.91636	864.974684	1299.23814	1769.63725	1367.81897	1425.9375	1269.71065
Q9JI35	192.077966	244.78714900000003	166.114914	164.34	123.227848	203.457114	272.921569	210.077586	213.453125	199.887285
P20618	96.2915254	141.851406	87.91687040000002	92.120979	74.08860759999997	109.194753	150.313725	123.663793	127.640625	107.067354
P18054	271.888136	374.164659	263.342298	256.190769	208.582278	323.653885	428.26470599999993	317.327586	346.6875	314.787629
O15151	168.118644	299.554217	179.10513400000005	194.566294	167.468354	223.581231	315.813725	262.784483	280.96875	217.233677
Q00987	157.966102	314.746988	178.305623	197.687692	173.607595	222.414733	313.980392	270.284483	290.34375	215.14364300000003
O94759	619.555932	853.5261039999998	595.528117	575.0179019999998	478.56962	736.75782	976.235294	733.439655	788.078125	718.332646
Q04609	302.054237	442.967871	288.166259	284.783497	240.329114	354.577195	466.715686	376.155172	390.90625	346.094158
Q15125	111.484746	114.84739	95.1369193	91.3125874	59.8101266	116.64884	149.892157	99.0	101.984375	114.464605
P10980	202.054237	261.493976	174.89486599999995	177.717203	140.291139	219.634712	302.196078	244.939655	227.8125	215.961512
Q9Y5Y6	323.983051	508.863454	315.02445	334.363636	266.759494	383.866801	519.431373	415.758621	453.203125	374.049485
Q9BYP7	601.0677969999998	1121.98795	644.6112469999998	651.2976219999998	628.78481	807.079717	1119.94118	987.672414	1012.21875	785.943643
P10636	219.230508	513.6224900000002	239.731051	239.245035	268.443038	301.403633	419.89215700000005	399.724138	454.875	288.324399
P11717	921.186441	1503.04418	898.3300730000002	992.885594	796.189873	1108.76791	1525.98039	1245.97414	1342.14062	1079.93196
Q9UQD0	855.738983	1121.94378	783.623472	775.353287	598.7215190000002	975.871847	1303.07843	1003.34483	1018.84375	954.586254
P78527	1674.09153	2346.53012	1617.35941	1607.16252	1341.18987	2020.28961	2731.48039	2072.56034	2200.10938	1972.56632
Q6P179	396.935593	537.297189	385.503667	381.614825	311.481013	478.476287	636.6176469999998	482.568966	494.484375	468.17732
Q13822	342.579661	506.34136500000005	342.134474	343.807832	292.063291	416.482341	546.0882349999998	419.318966	463.15625	404.447423
P70263	164.454237	183.144578	139.958435	139.523916	93.9746835	171.855701	230.411765	163.956897	163.75	169.182818
P35968	527.7050849999998	814.7389559999998	507.943765	526.516923	435.898734	636.070636	866.2843140000001	696.939655	727.53125	618.857045
Q60492	99.1389831	116.935743	89.002445	86.1562238	58.0	108.831483	140.117647	102.810345	103.03125	106.90378
Q01959	290.986441	331.13253	236.621027	240.587413	154.01265800000004	294.2603430000001	394.509804	292.818966	281.140625	289.101718
B2RXH2	189.566102	298.329317	192.378973	189.636783	165.341772	233.368315	305.6176470000001	249.603448	264.109375	227.966323
P35218	122.40339	171.28514099999995	120.721271	113.285315	96.5063291	146.256307	190.235294	150.81034499999996	152.203125	143.08522299999996
P42866	182.2	216.578313	153.08802	154.21958	109.949367	189.83552	260.254902	202.818966	185.015625	186.262543
O14757	188.19322	284.429719	188.320293	183.512727	165.341772	233.79112	310.480392	237.793103	262.15625	227.35945
P09601	110.108475	165.473896	113.349633	105.432727	99.3291139	140.504541	184.431373	145.577586	156.59375	136.96288700000002
P06241	204.715254	322.718876	206.599022	210.711189	179.417722	254.567104	333.607843	264.758621	289.65625	248.164261
P43235	127.823729	194.052209	125.06846000000002	130.778601	111.898734	154.347124	206.27451	165.612069	175.09375	151.285223
P23921	316.789831	462.080321	308.129584	317.278322	267.35443	384.326942	518.009804	411.12069	423.09375	375.843986
Q9BY41	155.711864	218.682731	139.513447	152.46643400000005	112.0	173.554995	236.519608	186.12069	193.96875	169.181443
Q2NNR5	164.623729	178.738956	139.52811699999998	138.495105	101.253165	173.290616	230.078431	166.465517	157.0625	170.88728500000005
Q9UNA0	347.369492	554.028112	336.5990220000001	352.006294	301.5696200000001	410.822402	554.2549019999999	444.14655199999993	500.234375	401.371821
P37058	140.874576	167.361446	119.095355	123.572727	88.1518987	151.20787099999995	205.941176	151.784483	150.734375	148.599313
Q92887	661.9355929999998	872.951807	601.98533	595.484755	466.544304	757.6831480000002	1030.9902	788.4137929999998	776.171875	743.864605
P12268	201.677966	305.963855	182.251834	197.161958	158.050633	230.562059	323.382353	266.232759	277.3125	225.834364
O00754	401.647458	579.610442	389.694377	372.436783	317.443038	475.617558	632.9215690000002	500.87931	514.71875	464.758076
Q12809	453.867797	696.192771	421.264059	410.73986	351.202532	520.2129160000002	711.6176469999998	577.1465519999998	609.796875	504.876289
P17538	105.457627	150.048193	88.7457213	97.2944056	70.3037975	111.178607	158.54901999999996	131.01724099999998	130.890625	109.114777
P09470	531.338983	744.46988	526.6943769999998	508.13272699999993	429.26582300000007	642.618567	841.4509800000002	651.422414	675.03125	627.1649480000002
P18089	191.094915	258.99196800000004	171.518337	167.33496499999995	130.974684	211.225025	281.196078	215.62069	225.28125	206.120962
Q14416	363.952542	488.144578	321.227384	329.9818180000001	245.518987	394.864783	540.4117650000002	425.517241	436.984375	387.115464
Q14994	144.17288100000005	196.080321	138.645477	135.263357	110.759494	171.633703	228.892157	168.396552	182.328125	167.69278400000005
P51679	178.04406799999995	183.24498	148.430318	154.91958	96.5696203	185.040363	243.254902	164.318966	159.46875	182.042612
P08473	293.376271	443.269076	291.6161370000001	300.425734	256.139241	363.269425	492.441176	398.327586	403.8125	355.527835
P11715	212.60339	290.248996	197.98533	190.348531	157.518987	247.672048	331.95098	251.810345	264.984375	241.2811
P08236	268.352542	374.662651	261.061125	254.380979	209.848101	319.251261	414.058824	317.887931	328.234375	312.049485
P00374	73.7966102	112.11245	74.5036675	70.8767832	64.9746835	92.8980827	120.666667	93.2413793	102.8125	90.2680412
Q9Y345	359.162712	437.15261	298.4376529999999	302.312448	211.746835	370.687185	497.333333	386.836207	371.3125	363.234364
O60755	164.525424	194.62249	134.290954	131.856224	95.9113924	163.130172	221.77451	165.37069	176.359375	160.153265
P37288	182.410169	225.955823	162.488998	155.081538	122.037975	197.963673	263.411765	208.560345	201.328125	195.148454
P80457	521.267797	774.987952	490.163814	502.603497	415.924051	610.927346	827.2450980000001	666.6293099999998	707.21875	596.0584190000002
Q15858	851.352542	1129.44177	786.200489	779.870909	618.126582	981.268416	1319.7549	1019.49138	1028.76562	960.575945
Q16875	201.101695	311.84739	205.075795	202.841958	185.177215	253.052472	337.862745	265.387931	290.09375	246.013746
Q13393	439.566102	629.8152610000002	436.06601500000005	413.298042	365.329114	535.495459	703.509804	544.3793099999998	580.6875	522.663918
Q6T3U3	572.420339	727.64257	495.105134	508.886853	369.227848	617.827447	853.8627449999998	655.793103	642.546875	604.9072160000002
Q62668	411.447458	508.04417699999993	347.02934	348.800559	249.810127	434.366297	589.186275	450.37069	433.03125	425.449485
P43405	246.32542400000003	373.73494	247.007335	247.83104900000004	218.886076	304.420787	399.509804	314.232759	343.78125	297.138144
P11229	190.247458	262.313253	177.205379	172.053287	144.658228	218.429869	287.754902	220.16379300000003	233.921875	213.4811
Q00194	273.738983	415.923695	275.863081	276.585455	246.594937	345.152371	457.284314	356.948276	388.890625	336.459107
Q96RJ0	174.525424	170.751004	141.838631	139.955105	89.4050633	175.004036	230.745098	162.22413799999995	149.875	172.589003
Q9R1M7	456.454237	648.8152610000002	436.731051	421.861259	349.0253160000001	538.814329	725.647059	569.922414	578.109375	526.593127
O43174	209.711864	283.0	195.775061	189.015105	153.278481	242.484359	319.519608	232.612069	259.21875	236.24329900000004
A0A059UE90	162.20678	251.136546	156.938875	156.066154	140.455696	194.515641	263.539216	213.405172	223.5625	189.493471
Q9UM81	581.5728809999998	911.004016	572.677262	556.0320280000002	494.949367	706.374369	935.313725	768.387931	798.828125	686.9800690000002
P28564	179.230508	207.297189	149.92176	150.065874	108.126582	187.74773	256.352941	192.939655	182.203125	184.228179
P31648	285.779661	322.0361450000001	234.753056	238.024615	154.10126599999995	290.172553	381.598039	282.896552	266.859375	285.862543
P49862	96.3728814	147.542169	90.58679709999998	94.7504895	79.36708859999997	112.400605	155.333333	122.293103	132.84375	109.701031
P00451	883.9423730000002	1393.77108	910.051345	886.177622	808.594937	1124.47225	1505.7549	1226.41379	1261.59375	1097.94364
Q9BY08	99.3728814	103.317269	82.0122249	86.5846154	51.0126582	101.683148	133.833333	88.1206897	92.3125	99.9697595
P21917	194.830508	268.03614500000003	155.885086	157.332727	122.898734	191.89001	269.176471	209.301724	232.78125	184.551203
Q9H2K8	315.833898	533.381526	365.833741	350.677203	349.34177200000005	454.715439	605.5882349999998	480.62931	533.1875	443.568385
O14983	414.935593	574.401606	368.02445	384.686573	291.240506	464.790111	644.0	514.5	529.078125	452.835052
P49759	183.250847	289.522088	202.246944	192.656364	183.303797	242.786075	316.764706	242.991379	280.328125	236.469416
P34913	230.32542400000003	309.220884	215.750611	211.616923	171.544304	267.71443	356.686275	272.456897	290.796875	260.791753
Q9Y263	306.566102	470.333333	286.5623470000001	305.696503	242.60759500000003	357.56004	500.058824	410.137931	417.734375	349.345017
Q1HEC0	982.966102	1423.28514	939.809291	933.08965	768.7215190000002	1167.79415	1584.01961	1262.12931	1296.96875	1139.1525800000004
Q9NQW7	251.427119	361.61847400000005	236.733496	242.244476	193.886076	294.191726	397.784314	313.715517	332.828125	285.918213
Q9Z2V5	445.257627	644.955823	413.93643	435.758601	333.696203	513.267407	713.068627	575.6293099999998	598.171875	499.849485
P40925	134.74576299999998	193.11245	120.410758	125.699301	103.417722	153.35923300000005	215.068627	173.991379	180.328125	150.068041
P17289	188.254237	281.345382	186.564792	183.566993	157.088608	229.363269	310.705882	245.336207	270.015625	222.64055
Q92630	226.338983	360.373494	224.745721	215.608252	204.936709	277.513623	370.862745	299.8103450000001	324.3125	271.076976
P21673	74.36949150000002	93.9718876	70.86552569999998	72.60279720000003	52.65822779999999	86.8213925	112.166667	81.91379309999998	90.453125	84.55189
P19327	183.345763	237.204819	157.706601	160.495804	121.797468	196.654894	269.843137	207.793103	209.078125	192.718213
P24557	225.979661	296.542169	211.305623	199.642657	163.772152	260.72553	345.039216	257.353448	276.46875	253.856357
Q08188	268.508475	416.176707	254.91687	255.904476	215.253165	317.172553	436.990196	369.12069	362.765625	310.618557
P21453	180.39322	207.903614	149.709046	149.805734	108.35443	188.0333	258.343137	190.146552	180.65625	185.087973
P29475	545.450847	861.449799	545.227384	535.444895	478.405063	674.30777	898.7549019999999	722.094828	780.03125	656.157388
P20813	210.474576	276.405622	198.699267	185.113147	153.050633	245.72553	319.519608	234.034483	252.375	239.239863
P00734	229.891525	374.365462	235.205379	245.116923	205.278481	287.047427	383.764706	306.525862	343.515625	278.872165
P14735	416.308475	582.473896	413.728606	403.287273	346.822785	513.9414730000002	673.794118	505.534483	548.0	499.679725
P55156	347.735593	528.610442	333.748166	341.003776	292.696203	422.40766900000006	580.4117650000002	463.413793	478.375	413.7704470000001
Q9Y5N1	191.427119	244.35743	165.860636	162.891189	122.43038	202.612513	270.862745	208.301724	213.78125	198.885223
Q8WMX0	34.3152542	99.0843373	46.6748166	45.4854545	55.0253165	57.02421800000001	75.62745100000002	73.0	90.65625	54.4996564
P61169	202.898305	241.779116	180.792176	168.824196	139.10126599999998	223.281534	297.921569	225.37931	218.34375	218.778007
P19602	246.332203	344.566265	236.293399	236.194545	195.316456	294.3158430000001	394.980392	303.8017240000001	319.875	287.001375
P49286	176.691525	188.714859	140.735941	139.044615	92.3037975	174.29566100000005	237.196078	172.043103	162.53125	171.08316200000004
O00750	640.966102	962.722892	632.168704	623.301958	536.6835440000001	779.433905	1046.03922	805.284483	875.421875	758.1676980000002
O43526	331.118644	537.6465860000002	320.740831	312.053007	284.860759	393.180626	524.0784309999998	427.456897	472.828125	382.446735
Q02759	274.610169	372.441767	261.303178	257.976923	206.886076	321.86781	427.313725	319.922414	343.765625	313.830241
P41586	213.20678	249.678715	186.699267	190.065175	126.64557	228.924319	303.813725	225.982759	221.75	224.72921
P49841	162.491525	251.289157	157.386308	156.164615	141.025316	195.105954	264.0	214.12931	223.484375	190.125773
Q99250	855.2949150000002	1132.6706800000004	789.4621030000002	790.527832	614.1645570000002	986.356206	1326.89216	1027.48276	1035.17188	965.789691
Q8VCT3	258.19661	372.008032	245.132029	247.683636	198.835443	302.262361	400.303922	314.284483	336.40625	293.982131
P00915	95.5084746	154.59839399999996	95.5794621	93.6827972	86.8734177	117.893037	162.058824	139.801724	138.484375	115.158076
P42338	451.240678	607.7751	428.728606	425.740979	349.936709	535.5973759999998	716.323529	530.672414	566.703125	522.1402059999998
Q9R1K8	312.7016950000001	461.297189	309.290954	307.040559	268.506329	384.146317	519.598039	402.706897	428.625	374.591753
O43683	407.972881	626.702811	414.107579	411.277063	366.64557	514.201816	694.6176469999998	563.318966	586.296875	501.553265
Q99705	186.440678	235.253012	155.645477	155.594266	113.177215	193.403633	263.284314	207.456897	196.65625	189.999313
P0C869	298.505085	452.614458	299.246944	295.412028	247.012658	369.348133	496.058824	378.991379	411.328125	358.902405
Q9NR97	434.559322	589.4297190000002	417.185819	413.658042	336.202532	522.214934	718.205882	540.706897	527.375	510.893471
Q8K4F2	278.949153	385.955823	261.887531	252.163357	205.78481	323.38446	431.441176	330.034483	348.59375	314.212371
Q13002	376.325424	520.473896	353.139364	349.885035	285.265823	439.457114	587.4117650000002	460.698276	468.265625	430.50378
Q96FL8	265.922034	304.626506	210.621027	218.912448	138.177215	267.951564	371.833333	269.663793	258.0625	263.367698
O43570	142.484746	203.514056	133.430318	133.481119	110.367089	165.85368300000005	226.264706	179.887931	177.875	162.038488
Q09128	206.389831	297.0361450000001	209.691932	194.837902	180.227848	259.767911	338.95098	249.698276	280.6875	252.664605
P13807	285.40339	426.297189	286.466993	282.814126	238.189873	349.597376	465.656863	371.732759	393.828125	340.846735
Q15722	157.60339	186.907631	126.584352	122.281259	88.83544300000001	158.69223	220.568627	167.465517	164.6875	156.666667
O76074	338.759322	501.546185	341.5916870000001	346.908811	293.5696200000001	425.75782	583.490196	461.284483	477.421875	416.142268
Q8BGY9	270.389831	316.6305220000001	215.317848	227.573846	143.582278	271.092836	369.382353	284.525862	260.234375	266.921649
Q9UQL6	381.033898	688.722892	394.753056	395.996224	366.898734	495.297679	683.1176469999998	577.5	614.8125	481.04055
P07339	167.42033899999996	245.068273	146.344743	157.405175	120.278481	184.075681	253.166667	203.586207	207.90625	179.73539499999995
P04114	1781.99661	2662.2249	1754.7970699999996	1755.6918899999996	1532.70886	2214.03935	3023.67647	2409.39655	2422.32812	2166.9683800000007
Q16539	149.030508	204.365462	142.78973100000005	142.865734	116.151899	177.770938	241.098039	183.896552	190.84375	173.156701
P12785	983.962712	1449.77912	899.415648	926.828671	733.7215190000002	1128.48234	1570.77451	1254.41379	1296.78125	1101.25911
O75164	390.759322	635.518072	407.418093	415.551608	363.670886	500.243189	667.029412	543.301724	599.4375	486.172509
P15393	210.491525	271.104418	203.479218	181.145874	157.962025	249.715439	329.264706	252.0	255.1875	244.889347
Q9Y468	297.0677970000001	509.799197	302.770171	302.796503	271.78481	369.367306	499.647059	418.37069	460.65625	356.315464
P08842	245.037288	325.116466	226.100244	220.494406	172.658228	277.38647799999995	368.598039	277.637931	289.5625	270.787629
P29375	630.444068	994.425703	654.457213	651.453287	588.341772	812.861756	1088.32353	848.3448279999999	968.078125	788.946392
P35368	218.461017	302.060241	192.511002	188.032028	152.79746799999995	238.092836	321.245098	247.982759	261.765625	232.271478
O75385	378.850847	646.2369480000001	365.650367	350.437343	331.43038	452.803229	625.401961	529.310345	562.640625	438.92646
P12821	525.827119	735.9076309999998	521.0953549999998	503.274266	422.316456	636.5580219999998	836.686275	642.6293099999998	668.625	621.369072
P41968	167.861017	155.855422	126.327628	132.808671	71.62025320000002	158.335015	221.205882	157.98275900000004	137.03125	155.934021
P16220	110.230508	213.120482	115.195599	121.313147	117.139241	146.708375	211.411765	197.077586	187.765625	143.878351
P10635	207.698305	277.253012	193.215159	177.341538	145.98734199999996	238.061554	315.323529	235.55172400000004	255.015625	231.414433
P05091	203.861017	301.1847390000001	186.515892	194.353147	157.189873	232.254289	316.068627	260.974138	270.53125	227.647423
P17599	235.010169	454.365462	237.278729	218.168531	239.873418	291.994955	395.960784	363.965517	380.625	282.988316
P28335	215.99661	252.638554	182.232274	174.402657	131.89873400000002	228.502523	311.539216	234.80172400000004	222.203125	223.582131
P27986	266.467797	446.405622	286.726161	285.769231	268.177215	357.241171	475.89215700000005	377.689655	410.59375	346.947766
P34972	165.87118600000005	186.481928	136.259169	140.127133	93.5316456	170.052472	235.176471	168.793103	170.125	166.831615
Q9ULX7	131.854237	196.534137	127.163814	128.95258700000002	104.468354	158.056509	213.166667	166.741379	170.34375	154.092096
P30969	158.213559	164.30923700000002	137.359413	127.349231	94.3670886	169.755802	221.098039	153.896552	146.6875	167.43711299999995
P23280	122.874576	175.562249	122.166259	120.624196	101.367089	149.368315	198.411765	157.77586200000005	154.515625	146.32921000000005
P05186	200.752542	299.506024	188.102689	196.727413	161.873418	233.728557	323.284314	269.724138	275.53125	228.52646
P21397	218.047458	309.277108	205.735941	206.547692	169.949367	254.926337	333.666667	260.155172	279.1875	248.589003
P33436	255.230508	395.02008	250.410758	261.828252	212.822785	304.975782	396.039216	311.344828	352.40625	296.24811
P10721	394.132203	565.5220879999998	373.303178	382.171748	315.0253160000001	463.517659	627.22549	500.258621	512.484375	452.56769800000006
P04401	53.9525424	73.49799200000002	54.190709	51.4121678	43.6455696	67.370333	88.7352941	66.11206899999999	70.09375	66.0893471
P49763	85.5016949	131.052209	84.76283620000002	78.4837762	71.11392409999998	102.108981	133.980392	103.887931	120.0625	98.5890034
Q08493	253.691525	423.811245	265.251834	265.238182	235.329114	329.421796	460.77451	377.508621	398.78125	319.760825
Q02734	161.077966	212.879518	146.041565	143.28321699999995	115.278481	181.599395	240.823529	180.362069	191.953125	177.54089299999995
P39900	193.955932	270.353414	189.398533	180.788951	156.20253200000005	231.320888	298.186275	231.12931	242.234375	226.216495
P06737	349.277966	486.923695	337.6283620000001	333.808112	284.063291	420.766902	560.7549019999999	432.672414	456.046875	411.041924
Q15119	166.19661000000005	235.128514	158.369193	156.511049	131.417722	196.05449	264.088235	209.327586	209.46875	191.43299
P08684	217.40678	286.084337	201.03423	192.077483	159.89873400000005	251.82139300000003	331.0490200000001	245.017241	261.171875	244.989003
P18125	210.32542400000003	278.963855	196.772616	196.147552	159.68354399999996	244.400605	327.715686	247.517241	258.78125	239.306529
O43451	742.823729	1092.16466	715.347188	715.441538	582.6962030000002	877.350151	1168.03922	943.5	938.953125	855.7835050000001
P80041	205.511864	265.7751	183.90709	185.486573	137.759494	226.656912	305.333333	232.439655	250.203125	221.671478
P08238	262.162712	445.586345	281.5501220000001	291.359301	262.329114	355.640767	480.313725	388.318966	434.875	344.469416
Q07820	127.274576	218.24498	119.643032	120.705734	104.278481	149.84561000000005	206.676471	177.094828	195.234375	145.108591
P15559	114.735593	155.449799	106.94376499999998	103.923636	87.25316459999998	132.899092	174.421569	135.431034	142.359375	130.23024099999998
P08173	207.837288	262.421687	182.574572	172.173566	146.67088600000002	227.0444	306.323529	244.853448	233.640625	222.939519
Q03181	172.26101699999995	250.578313	170.464548	172.496783	147.113924	211.695257	284.803922	220.931034	241.015625	206.678351
P49430	223.318644	295.096386	206.388753	201.005734	157.67088600000002	256.028254	344.6176470000001	260.12931000000003	274.546875	249.08934700000003
O15305	96.7864407	150.75502	96.5256724	99.3386014	84.1772152	119.89001	157.0	119.362069	137.296875	116.669416
P10686	490.637288	767.6064259999998	511.90709	504.16951	443.22784800000005	627.920283	829.676471	655.258621	713.359375	611.0474230000002
P23946	101.657627	141.012048	93.3838631	90.0367832	75.9367089	115.339051	153.578431	115.939655	126.34375	112.454983
O75908	243.586441	271.064257	215.356968	202.892168	143.873418	261.979818	336.784314	233.258621	241.828125	256.99518900000004
Q9WUL0	263.183051	472.313253	319.361858	297.182797	337.151899	394.710394	504.196078	392.327586	494.921875	382.6
P49116	223.162712	361.53012	213.93154	225.400839	189.962025	269.781029	382.607843	322.3793100000001	317.734375	263.98488
P08246	112.820339	151.2249	94.202934	93.9883916	70.5822785	116.158426	164.26470600000005	130.77586200000002	130.375	114.028179
Q13107	352.549153	574.485944	363.645477	379.170629	326.278481	447.956609	605.990196	490.508621	527.109375	436.229553
P27169	148.366102	201.987952	134.545232	139.68391599999998	105.810127	169.679112	231.176471	178.637931	178.71875	164.997251
O00748	226.59322000000003	316.457831	208.684597	204.016503	162.278481	258.514632	349.176471	277.80172400000004	282.21875	252.380069
Q5S007	1047.10169	1432.0923699999996	982.537897	992.578182	797.113924	1239.00101	1707.20588	1282.38793	1335.32812	1208.77045
O95352	287.227119	393.831325	263.090465	271.235245	211.367089	327.278507	448.04902	343.603448	362.546875	319.3738830000001
Q13698	822.362712	1043.61847	739.733496	730.246154	550.2531650000002	920.943491	1229.70588	928.982759	941.109375	900.4137460000002
P10828	179.552542	263.60241	181.462103	184.522937	156.164557	223.759839	299.166667	227.086207	257.828125	217.525773
P17706	158.427119	246.831325	169.711491	161.58293700000004	150.417722	208.140262	272.088235	214.086207	229.953125	203.318213
P06746	124.301695	206.967871	130.413203	128.33818200000002	123.822785	162.920283	215.539216	172.577586	194.515625	158.599313
P29477	449.145763	659.518072	451.772616	436.651189	379.962025	555.2774969999998	731.0882349999998	564.3534480000002	602.4375	541.7085910000002
P37059	169.837288	210.927711	146.49633300000005	152.90042	111.050633	182.79112	245.245098	179.68965500000004	189.234375	179.418557
P28907	120.874576	173.42168700000005	118.616137	118.930769	98.6962025	145.633703	195.941176	149.344828	160.59375	141.989691
E1BN64	423.267797	672.586345	418.215159	415.650769	353.78481	514.652876	703.156863	566.905172	600.828125	499.063918
Q28156	338.894915	494.068273	336.584352	343.2145450000001	285.696203	419.763875	576.7549019999999	456.448276	470.96875	410.196564
Q03114	119.891525	167.694779	115.347188	114.81035	97.5822785	143.810293	191.735294	137.47413799999998	158.328125	139.417182
P97313	1684.3288100000002	2334.88353	1632.54279	1624.04839	1345.53165	2039.06357	2754.0098	2079.65517	2191.29688	1991.97045
Q9EQ60	940.60339	1374.9076300000004	879.102689	859.4616779999999	709.481013	1079.95358	1468.5098	1175.10345	1235.07812	1050.43093
P42225	284.589831	441.497992	303.5794620000001	293.125874	265.468354	378.288597	503.078431	388.87069	410.328125	368.56701
P15150	214.80678	275.345382	205.246944	185.259301	157.746835	252.0222	330.647059	243.70689700000003	255.8125	246.405498
P46197	428.99322	601.8995980000002	399.811736	395.828811	318.34177200000005	494.617558	665.460784	513.8965519999998	545.859375	482.611684
Q9Y271	163.616949	172.48996	137.992665	136.207832	97.835443	171.728557	227.764706	161.853448	156.1875	169.334708
P21452	189.820339	197.048193	155.557457	155.435524	102.278481	191.282543	256.088235	191.956897	175.859375	188.890034
Q92769	179.461017	297.951807	185.706601	198.834685	171.32911399999998	228.379415	303.882353	247.784483	278.234375	222.171134
P16471	233.24406800000003	367.385542	232.672372	236.925874	204.35443	288.213925	385.87254900000005	310.8103450000001	332.890625	278.582131
P01375	93.0135593	138.353414	85.92665040000001	86.06377619999998	70.0506329	107.727548	147.196078	115.767241	119.9375	104.96701000000002
Q08499	281.962712	492.891566	302.801956	296.635664	278.936709	374.152371	515.931373	435.094828	455.984375	362.37457
